day,count,day
2001-01-01 00:00:00+00:00,1821,2001-01-01 00:00:00+00:00
2001-01-02 00:00:00+00:00,1143,2001-01-02 00:00:00+00:00
2001-01-03 00:00:00+00:00,1151,2001-01-03 00:00:00+00:00
2001-01-04 00:00:00+00:00,1166,2001-01-04 00:00:00+00:00
2001-01-05 00:00:00+00:00,1267,2001-01-05 00:00:00+00:00
2001-01-06 00:00:00+00:00,1290,2001-01-06 00:00:00+00:00
2001-01-07 00:00:00+00:00,1105,2001-01-07 00:00:00+00:00
2001-01-08 00:00:00+00:00,1157,2001-01-08 00:00:00+00:00
2001-01-09 00:00:00+00:00,1184,2001-01-09 00:00:00+00:00
2001-01-10 00:00:00+00:00,1237,2001-01-10 00:00:00+00:00
2001-01-11 00:00:00+00:00,1228,2001-01-11 00:00:00+00:00
2001-01-12 00:00:00+00:00,1353,2001-01-12 00:00:00+00:00
2001-01-13 00:00:00+00:00,1311,2001-01-13 00:00:00+00:00
2001-01-14 00:00:00+00:00,1119,2001-01-14 00:00:00+00:00
2001-01-15 00:00:00+00:00,1312,2001-01-15 00:00:00+00:00
2001-01-16 00:00:00+00:00,1251,2001-01-16 00:00:00+00:00
2001-01-17 00:00:00+00:00,1288,2001-01-17 00:00:00+00:00
2001-01-18 00:00:00+00:00,1278,2001-01-18 00:00:00+00:00
2001-01-19 00:00:00+00:00,1214,2001-01-19 00:00:00+00:00
2001-01-20 00:00:00+00:00,1256,2001-01-20 00:00:00+00:00
2001-01-21 00:00:00+00:00,1105,2001-01-21 00:00:00+00:00
2001-01-22 00:00:00+00:00,1180,2001-01-22 00:00:00+00:00
2001-01-23 00:00:00+00:00,1250,2001-01-23 00:00:00+00:00
2001-01-24 00:00:00+00:00,1101,2001-01-24 00:00:00+00:00
2001-01-25 00:00:00+00:00,1183,2001-01-25 00:00:00+00:00
2001-01-26 00:00:00+00:00,1296,2001-01-26 00:00:00+00:00
2001-01-27 00:00:00+00:00,1215,2001-01-27 00:00:00+00:00
2001-01-28 00:00:00+00:00,1076,2001-01-28 00:00:00+00:00
2001-01-29 00:00:00+00:00,1172,2001-01-29 00:00:00+00:00
2001-01-30 00:00:00+00:00,1211,2001-01-30 00:00:00+00:00
2001-01-31 00:00:00+00:00,1189,2001-01-31 00:00:00+00:00
2001-02-01 00:00:00+00:00,1332,2001-02-01 00:00:00+00:00
2001-02-02 00:00:00+00:00,1236,2001-02-02 00:00:00+00:00
2001-02-03 00:00:00+00:00,1184,2001-02-03 00:00:00+00:00
2001-02-04 00:00:00+00:00,1149,2001-02-04 00:00:00+00:00
2001-02-05 00:00:00+00:00,1313,2001-02-05 00:00:00+00:00
2001-02-06 00:00:00+00:00,1195,2001-02-06 00:00:00+00:00
2001-02-07 00:00:00+00:00,1245,2001-02-07 00:00:00+00:00
2001-02-08 00:00:00+00:00,1242,2001-02-08 00:00:00+00:00
2001-02-09 00:00:00+00:00,1285,2001-02-09 00:00:00+00:00
2001-02-10 00:00:00+00:00,1089,2001-02-10 00:00:00+00:00
2001-02-11 00:00:00+00:00,1049,2001-02-11 00:00:00+00:00
2001-02-12 00:00:00+00:00,1235,2001-02-12 00:00:00+00:00
2001-02-13 00:00:00+00:00,1241,2001-02-13 00:00:00+00:00
2001-02-14 00:00:00+00:00,1228,2001-02-14 00:00:00+00:00
2001-02-15 00:00:00+00:00,1294,2001-02-15 00:00:00+00:00
2001-02-16 00:00:00+00:00,1213,2001-02-16 00:00:00+00:00
2001-02-17 00:00:00+00:00,1078,2001-02-17 00:00:00+00:00
2001-02-18 00:00:00+00:00,1080,2001-02-18 00:00:00+00:00
2001-02-19 00:00:00+00:00,1211,2001-02-19 00:00:00+00:00
2001-02-20 00:00:00+00:00,1257,2001-02-20 00:00:00+00:00
2001-02-21 00:00:00+00:00,1223,2001-02-21 00:00:00+00:00
